,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
333,Raja Sansi,75,IN,03/04/2019,87,31.72,74.8,51.8,1.92
334,Mednogorsk,76,RU,03/04/2019,88,51.41,57.59,22.0,6.06
335,Tongliao,48,CN,03/04/2019,44,43.61,122.27,36.13,2.93
336,Hanyang,92,CN,03/04/2019,79,32.14,105.51,46.79,6.06
337,Chapais,75,CA,03/04/2019,59,49.78,-74.86,3.2,4.7
338,La Rochelle,48,FR,03/04/2019,81,46.16,-1.15,50.0,11.41
339,Salinopolis,92,BR,03/04/2019,100,-0.61,-47.36,76.94,9.31
340,Mao,20,DO,03/04/2019,48,19.55,-71.08,86.0,13.87
341,Tarata,90,PE,03/04/2019,68,-17.47,-70.03,69.8,9.17
342,Portland,1,US,03/04/2019,26,45.52,-122.67,46.0,20.8
343,Mount Gambier,90,AU,03/04/2019,82,-37.83,140.78,62.6,8.05
344,Lisakovsk,0,KZ,03/04/2019,81,52.55,62.49,14.44,10.98
345,Waverley,90,AU,03/04/2019,73,-33.9,151.26,80.01,1.12
346,San Andres,64,PH,03/04/2019,100,13.32,122.68,78.7,13.56
347,Nantucket,90,US,03/04/2019,69,41.28,-70.1,37.99,8.05
348,Pangnirtung,75,CA,03/04/2019,64,66.15,-65.72,-0.41,3.36
349,Mangai,68,CD,03/04/2019,96,-4.07,19.59,73.12,2.04
350,Abha,0,SA,03/04/2019,82,18.22,42.5,59.0,4.7
351,Khandyga,0,RU,03/04/2019,31,62.65,135.58,-22.02,2.59
